"id","source","pmcid","title","journalTitle","issue","journalVolume","pubYear","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate","journalIssn","doi","authorString","pmid","pmcid_","rt_all_pmid","rt_all_pmcid_pmc","rt_all_pmcid_uid","rt_all_doi","rt_all_filename","rt_all_journal","rt_all_publisher","rt_all_affiliation_institution","rt_all_affiliation_country","rt_all_year_epub","rt_all_year_ppub","rt_all_is_coi_pred","rt_all_coi_text","rt_all_is_coi_pmc_fn","rt_all_is_coi_pmc_title","rt_all_is_relevant_coi","rt_all_is_relevant_coi_hi","rt_all_is_relevant_coi_lo","rt_all_is_explicit_coi","rt_all_coi_1","rt_all_coi_2","rt_all_coi_disclosure_1","rt_all_commercial_1","rt_all_benefit_1","rt_all_consultant_1","rt_all_grants_1","rt_all_brief_1","rt_all_fees_1","rt_all_consults_1","rt_all_connect_1","rt_all_connect_2","rt_all_commercial_ack_1","rt_all_rights_1","rt_all_founder_1","rt_all_advisor_1","rt_all_paid_1","rt_all_board_1","rt_all_no_coi_1","rt_all_no_funder_role_1","rt_all_is_fund_pred","rt_all_fund_text","rt_all_fund_pmc_institute","rt_all_fund_pmc_source","rt_all_fund_pmc_anysource","rt_all_is_fund_pmc_group","rt_all_is_fund_pmc_title","rt_all_is_fund_pmc_anysource","rt_all_is_relevant_fund","rt_all_is_explicit_fund","rt_all_support_1","rt_all_support_3","rt_all_support_4","rt_all_support_5","rt_all_support_6","rt_all_support_7","rt_all_support_8","rt_all_support_9","rt_all_support_10","rt_all_developed_1","rt_all_received_1","rt_all_received_2","rt_all_recipient_1","rt_all_authors_1","rt_all_authors_2","rt_all_thank_1","rt_all_thank_2","rt_all_fund_1","rt_all_fund_2","rt_all_fund_3","rt_all_supported_1","rt_all_financial_1","rt_all_financial_2","rt_all_financial_3","rt_all_grant_1","rt_all_french_1","rt_all_common_1","rt_all_common_2","rt_all_common_3","rt_all_common_4","rt_all_common_5","rt_all_acknow_1","rt_all_disclosure_1","rt_all_disclosure_2","rt_all_fund_ack","rt_all_project_ack","rt_all_is_register_pred","rt_all_register_text","rt_all_type","rt_all_is_research","rt_all_is_review","rt_all_is_reg_pmc_title","rt_all_is_relevant_reg","rt_all_is_method","rt_all_is_NCT","rt_all_is_explicit_reg","rt_all_prospero_1","rt_all_registered_1","rt_all_registered_2","rt_all_registered_3","rt_all_registered_4","rt_all_registered_5","rt_all_not_registered_1","rt_all_registration_1","rt_all_registration_2","rt_all_registration_3","rt_all_registration_4","rt_all_registry_1","rt_all_reg_title_1","rt_all_reg_title_2","rt_all_reg_title_3","rt_all_reg_title_4","rt_all_funded_ct_1","rt_all_ct_2","rt_all_ct_3","rt_all_protocol_1","rt_all_is_success","rt_data_pmid","rt_data_pmcid_pmc","rt_data_pmcid_uid","rt_data_doi","rt_data_filename","rt_data_is_relevant_data","rt_data_is_relevant_code","rt_data_article","rt_data_is_open_data","rt_data_open_data_category","rt_data_is_reuse","rt_data_is_open_code","rt_data_is_code_supplement","rt_data_is_code_reuse","rt_data_is_open_data_das","rt_data_is_open_code_cas","rt_data_das","rt_data_open_data_statements","rt_data_cas","rt_data_open_code_statements","rt_data_is_success"
"PMC5269218","PMC","PMC5269218","The Book World of Medicine and Science","Hospital (Lond 1886)","696",27,1900,"278-278","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-27","0267-6478",NA,NA,NA,"5269218","","","5269218","","PMC 5269218.xml","The Hospital","Scientific Press; London","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","book-review",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","5269218","not found","PMC 5269218.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"PMC5269835","PMC","PMC5269835","The Book World of Medicine and Science","Hospital (Lond 1886)","695",27,1900,"262-262","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-20","0267-6478",NA,NA,NA,"5269835","","","5269835","","PMC 5269835.xml","The Hospital","Scientific Press; London","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","book-review",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","5269835","not found","PMC 5269835.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"PMC5269173","PMC","PMC5269173","The Book World of Medicine and Science","Hospital (Lond 1886)","694",27,1900,"246-246","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-13","0267-6478",NA,NA,NA,"5269173","","","5269173","","PMC 5269173.xml","The Hospital","Scientific Press; London","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","book-review",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","5269173","not found","PMC 5269173.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"PMC5269979","PMC","PMC5269979","The Book World of Medicine and Science","Hospital (Lond 1886)","693",27,1900,"230-230","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-06","0267-6478",NA,NA,NA,"5269979","","","5269979","","PMC 5269979.xml","The Hospital","Scientific Press; London","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","book-review",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","5269979","not found","PMC 5269979.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"PMC5269971","PMC","PMC5269971","The Late Sir James Paget","Hospital (Lond 1886)","693",27,1900,"220-220","obituary","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-06","0267-6478",NA,NA,NA,"5269971","","","5269971","","PMC 5269971.xml","The Hospital","Scientific Press; London","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","obituary",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","5269971","not found","PMC 5269971.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"PMC10147170","PMC","PMC10147170","Dr. Benjamin H. Catching","Int Dent J (Phila)","1",21,1900,"62-63","obituary","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2023-11-03","1900-01-01","1069-0441",NA,NA,NA,"10147170","","","10147170","","PMC 10147170.xml","The International Dental Journal","International Dental Publication Co; New York City","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","obituary",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","10147170","not found","PMC 10147170.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"PMC10147175","PMC","PMC10147175","Academy of Stomatology—Resolutions upon the Death of Dr. Bonwill","Int Dent J (Phila)","1",21,1900,"64-64","obituary","Y","Y","Y","Y","N","N",0,"N","Y","N","N","N","2023-11-03","1900-01-01","1069-0441",NA,NA,NA,"10147175","","","10147175","","PMC 10147175.xml","The International Dental Journal","International Dental Publication Co; New York City","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","obituary",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"","","10147175","not found","PMC 10147175.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"37912669","MED","PMC10147183","Academy of Stomatology.","Int Dent J (Phila)","1",21,1900,"32-38","meeting-report; journal article","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2023-11-02","1900-01-01","1069-0441",NA,NA,37912669,"10147183","37912669","","10147183","","PMC 10147183.xml","The International Dental Journal","International Dental Publication Co; New York City","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","meeting-report",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"37912669","","10147183","not found","PMC 10147183.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"37912668","MED","PMC10147182","Wisconsin State Board of Dental Examiners.","Int Dent J (Phila)","1",21,1900,"64-67","letter; journal article","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2023-11-02","1900-01-01","1069-0441",NA,NA,37912668,"10147182","37912668","","10147182","","PMC 10147182.xml","The International Dental Journal","International Dental Publication Co; New York City","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","letter",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"37912668","","10147182","not found","PMC 10147182.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
"37912667","MED","PMC10147181","Massachusetts Dental Society: The Sixth-Year Molar.","Int Dent J (Phila)","1",21,1900,"49-58","meeting-report; journal article","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2023-11-02","1900-01-01","1069-0441",NA,"Daly JH.",37912667,"10147181","37912667","","10147181","","PMC 10147181.xml","The International Dental Journal","International Dental Publication Co; New York City","","","","1900",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","meeting-report",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"37912667","","10147181","not found","PMC 10147181.xml",FALSE,FALSE,"not found",FALSE,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","","",TRUE
